"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/1999","11.25","11.50","11.53","11.16","1.25M","-2.68%"
"09/01/1999","11.56","11.81","12.00","11.16","1.33M","-2.69%"
"08/01/1999","11.88","12.12","12.16","11.47","1.26M","-1.00%"
"07/01/1999","12.00","11.81","12.06","11.62","1.52M","1.01%"
"06/01/1999","11.88","11.97","12.34","11.75","1.46M","-0.75%"
"05/01/1999","11.97","11.81","12.50","11.56","1.81M","2.40%"
"04/01/1999","11.69","10.44","11.91","10.41","2.20M","11.33%"
"03/01/1999","10.50","10.97","11.34","10.16","2.40M","-3.76%"
"02/01/1999","10.91","11.94","11.97","10.84","2.06M","-8.63%"
"01/01/1999","11.94","12.22","12.44","11.78","1.50M","-4.02%"
"12/01/1998","12.44","12.56","12.66","12.00","1.77M","-1.43%"
"11/01/1998","12.62","12.47","12.84","12.31","1.55M","1.20%"
"10/01/1998","12.47","12.47","12.78","11.97","1.26M","0.24%"
"09/01/1998","12.44","11.72","12.97","11.72","1.61M","5.60%"
"08/01/1998","11.78","11.91","12.81","11.72","1.50M","-2.08%"
"07/01/1998","12.03","13.25","13.69","11.88","1.45M","-8.79%"
"06/01/1998","13.19","13.19","13.59","12.72","1.32M","-0.68%"
"05/01/1998","13.28","13.03","13.38","12.88","1.22M","1.68%"
"04/01/1998","13.06","13.50","13.62","12.81","1.59M","-3.90%"
"03/01/1998","13.59","12.94","13.59","12.62","1.98M","5.27%"
"02/01/1998","12.91","13.31","13.44","12.84","1.36M","-3.01%"
"01/01/1998","13.31","12.72","13.50","12.66","1.74M","4.64%"
"12/01/1997","12.72","13.16","13.38","12.50","1.64M","-2.83%"
"11/01/1997","13.09","13.12","13.41","12.38","1.42M","0.23%"
"10/01/1997","13.06","13.53","13.72","11.88","3.47M","-3.04%"
"09/01/1997","13.47","13.81","13.81","13.09","1.04M","-2.46%"
"08/01/1997","13.81","12.97","13.91","12.81","942.00K","7.22%"
"07/01/1997","12.88","13.06","13.31","12.72","743.60K","-1.83%"
"06/01/1997","13.12","12.75","13.25","12.50","1.02M","2.90%"
"05/01/1997","12.75","12.25","12.94","12.12","840.00K","2.99%"
"04/01/1997","12.38","11.50","12.50","11.31","988.60K","7.65%"
"03/01/1997","11.50","12.44","13.19","11.50","1.55M","-8.00%"
"02/01/1997","12.50","13.25","13.25","12.50","946.60K","-5.66%"
"01/01/1997","13.25","11.88","13.31","11.75","1.80M","10.97%"
"12/01/1996","11.94","11.88","12.25","11.50","1.26M","0.51%"
"11/01/1996","11.88","11.44","12.12","11.44","1.32M","3.30%"
