"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/2019","268.60","273.28","276.28","258.70","76.17M","-1.64%"
"07/01/2019","273.08","272.46","277.55","270.30","55.51M","1.46%"
"06/01/2019","269.15","252.83","272.79","250.77","48.69M","6.44%"
"05/01/2019","252.87","270.68","270.86","252.77","72.32M","-6.35%"
"04/01/2019","270.01","261.46","270.41","261.19","41.36M","4.03%"
"03/01/2019","259.54","257.81","262.59","250.34","62.97M","1.36%"
"02/01/2019","256.07","248.31","258.61","246.20","57.66M","3.25%"
"01/01/2019","248.01","226.18","248.53","223.97","81.25M","7.92%"
"12/01/2018","229.81","257.65","257.74","214.83","128.54M","-9.34%"
"11/01/2018","253.48","249.63","258.44","241.73","61.16M","1.89%"
"10/01/2018","248.79","268.46","269.47","238.79","91.44M","-6.84%"
"09/01/2018","267.05","266.35","270.67","263.45","48.73M","0.12%"
"08/01/2018","266.72","258.64","268.05","256.48","49.56M","3.22%"
"07/01/2018","258.40","247.56","261.25","247.32","45.59M","3.56%"
"06/01/2018","249.51","250.23","256.77","246.63","54.66M","0.29%"
"05/01/2018","248.79","242.45","251.94","237.92","43.98M","2.42%"
"04/01/2018","242.92","241.19","249.22","233.92","57.32M","0.35%"
"03/01/2018","242.08","249.53","257.71","237.53","63.87M","-2.91%"
"02/01/2018","249.34","258.29","260.12","232.42","88.66M","-3.73%"
"01/01/2018","258.99","246.15","263.37","245.74","63.56M","5.59%"
"12/01/2017","245.29","243.25","248.01","239.52","44.19M","0.80%"
"11/01/2017","243.35","237.03","244.40","234.82","43.31M","3.06%"
"10/01/2017","236.13","231.00","236.88","230.91","33.05M","2.33%"
"09/01/2017","230.76","227.76","230.90","224.98","33.38M","1.52%"
"08/01/2017","227.30","227.30","228.62","222.12","37.62M","0.29%"
"07/01/2017","226.64","223.09","227.78","220.72","37.71M","2.06%"
"06/01/2017","222.06","222.14","225.76","220.42","43.55M","0.18%"
"05/01/2017","221.67","219.16","222.24","216.13","40.66M","1.40%"
"04/01/2017","218.60","216.51","219.90","213.47","39.17M","1.04%"
"03/01/2017","216.35","218.90","220.66","212.62","47.64M","-0.33%"
"02/01/2017","217.07","209.62","217.90","208.23","35.46M","3.88%"
"01/01/2017","208.97","206.68","210.90","205.56","57.28M","1.78%"
"12/01/2016","205.31","202.68","209.70","201.24","52.30M","1.44%"
"11/01/2016","202.40","195.52","203.69","191.32","52.73M","3.73%"
"10/01/2016","195.13","198.18","198.95","193.92","33.93M","-1.79%"
"09/01/2016","198.69","199.50","201.15","194.12","44.98M","-0.42%"
"08/01/2016","199.52","199.33","201.51","196.88","43.95M","0.12%"
"07/01/2016","199.28","192.09","199.60","189.97","41.95M","3.68%"
"06/01/2016","192.20","191.88","194.95","182.27","61.83M","-0.18%"
"05/01/2016","192.54","189.81","193.27","185.97","38.16M","1.75%"
"04/01/2016","189.22","187.40","193.43","186.26","42.42M","0.35%"
"03/01/2016","188.56","178.84","189.72","178.33","50.01M","6.30%"
