"Date","Price","Open","High","Low","Vol.","Change %"
"03/24/2025","1,190.06","1,188.20","1,192.59","1,182.60","6.32B","0.29%"
"03/21/2025","1,186.61","1,187.06","1,190.62","1,180.49","10.23B","0.41%"
"03/20/2025","1,181.71","1,192.28","1,200.09","1,181.71","9.44B","-0.67%"
"03/19/2025","1,189.66","1,177.37","1,195.56","1,174.62","9.82B","1.15%"
"03/18/2025","1,176.17","1,177.68","1,181.31","1,165.99","8.90B","0.51%"
"03/17/2025","1,170.20","1,175.74","1,178.51","1,165.46","7.60B","-0.30%"
"03/14/2025","1,173.76","1,162.55","1,176.92","1,160.13","8.30B","1.22%"
"03/13/2025","1,159.64","1,164.18","1,168.73","1,157.96","7.60B","-0.04%"
"03/12/2025","1,160.06","1,184.86","1,186.57","1,158.17","9.38B","-2.32%"
"03/11/2025","1,187.63","1,167.19","1,189.40","1,160.99","9.75B","0.87%"
"03/10/2025","1,177.44","1,195.37","1,196.52","1,177.44","8.09B","-2.05%"
"03/07/2025","1,202.03","1,188.66","1,202.03","1,186.93","9.29B","1.05%"
"03/06/2025","1,189.55","1,206.86","1,207.04","1,186.91","9.87B","-1.44%"
"03/05/2025","1,206.96","1,185.36","1,208.76","1,183.21","9.49B","2.49%"
"03/04/2025","1,177.64","1,182.32","1,195.66","1,173.13","9.23B","-0.91%"
"03/03/2025","1,188.41","1,207.27","1,211.21","1,185.73","8.98B","-1.27%"
"02/28/2025","1,203.72","1,192.43","1,206.58","1,186.36","11.49B","-0.99%"
"02/27/2025","1,215.73","1,228.65","1,235.11","1,212.54","10.23B","-1.25%"
"02/26/2025","1,231.14","1,209.72","1,233.35","1,208.91","11.89B","2.05%"
"02/25/2025","1,206.39","1,231.48","1,231.48","1,206.39","9.56B","-2.38%"
"02/24/2025","1,235.85","1,242.50","1,242.50","1,227.42","8.84B","-0.83%"
